,Title,Salary (min),Salary (max),Currency,Link,Source
1,Инженер по сопровождению Data Science-платформы,,,,https://www.superjob.ru/vakansii/inzhener-po-soprovozhdeniyu-data-science-platformy-38018917.html,https://www.superjob.ru
2,Инженер в области машинного обучения (Data Scientist),,,,https://www.superjob.ru/vakansii/inzhener-v-oblasti-mashinnogo-obucheniya-38301975.html,https://www.superjob.ru
3,Инженер-сопровождения Data Science-платформы,,,,https://www.superjob.ru/vakansii/inzhener-soprovozhdeniya-data-science-platformy-38277902.html,https://www.superjob.ru
4,Data Analyst,,,,https://www.superjob.ru/vakansii/data-analyst-38052013.html,https://www.superjob.ru
5,Sr. Software Engineer Backend,,,,https://www.superjob.ru/vakansii/sr-38104802.html,https://www.superjob.ru
6,Media Monitor,,,,https://www.superjob.ru/vakansii/media-monitor-38022167.html,https://www.superjob.ru
7,Senior QA manual Engineer,,,,https://www.superjob.ru/vakansii/senior-qa-manual-engineer-38349144.html,https://www.superjob.ru
8,QA-engineer / WEB-developer,,100000,руб.,https://www.superjob.ru/vakansii/qa-engineer-38120817.html,https://www.superjob.ru
9,Системный аналитик (малый и микро бизнес),,,,https://www.superjob.ru/vakansii/sistemnyj-analitik-38066958.html,https://www.superjob.ru
10,Главный инженер по разработке,,,,https://www.superjob.ru/vakansii/glavnyj-inzhener-po-razrabotke-38165614.html,https://www.superjob.ru
11,PM/QA-специалист,,100000,руб.,https://www.superjob.ru/vakansii/pm-38203758.html,https://www.superjob.ru
12,ML-разработчик,,,,https://www.superjob.ru/vakansii/ml-razrabotchik-38051474.html,https://www.superjob.ru
13,Senior Media Analyst Assistant,,,,https://www.superjob.ru/vakansii/senior-media-analyst-assistant-38021734.html,https://www.superjob.ru
14,Senior Procurement and Contracting Officer Assistant,,,,https://www.superjob.ru/vakansii/senior-procurement-and-contracting-officer-assistant-38008284.html,https://www.superjob.ru
15,Data scientist / Специалист по нейросетям,70000,80000,руб.,https://www.superjob.ru/vakansii/data-scientist-38094458.html,https://www.superjob.ru
16,Senior Data Scientist (Recommender Systems),220000,,руб.,https://hhcdn.ru/click?b=225320&place=35,https://hh.ru
17,Senior Data Scientist,2800,,USD,https://belgorod.hh.ru/vacancy/46552746?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
18,Data-scientist,,,,https://belgorod.hh.ru/vacancy/44653300?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
19,Специалист Computer Vision (Senior Data Scientist),180000,300000,руб.,https://belgorod.hh.ru/vacancy/46590676?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
20,Junior Data Scientist,,,,https://belgorod.hh.ru/vacancy/46498704?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
21,Data Scientist,180000,220000,руб.,https://belgorod.hh.ru/vacancy/46408491?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
22,Data Scientist,100000,250000,руб.,https://belgorod.hh.ru/vacancy/44350010?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
23,Junior Data Scientist,120000,,руб.,https://belgorod.hh.ru/vacancy/43825932?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
24,Data Scientist,3000,5000,USD,https://belgorod.hh.ru/vacancy/46012355?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
25,Data Scientist,60000,200000,руб.,https://belgorod.hh.ru/vacancy/46539765?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
26,Data Analyst,100000,150000,руб.,https://belgorod.hh.ru/vacancy/45955296?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
27,Data scientist (Junior/Middle) в консалтинг,,,,https://belgorod.hh.ru/vacancy/46453469?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
28,Junior Data Scientist,40000,80000,руб.,https://belgorod.hh.ru/vacancy/46666238?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
29,Data Scientist (Remote),350000,,руб.,https://belgorod.hh.ru/vacancy/46662781?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
30,Data Scientist,,250000,руб.,https://belgorod.hh.ru/vacancy/45191074?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
31,Data Scientist,100000,150000,руб.,https://belgorod.hh.ru/vacancy/46105334?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
32,Аналитик-разработчик / Data Scientist,,,,https://belgorod.hh.ru/vacancy/46622304?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
33,Middle Data Scientist,100000,140000,руб.,https://belgorod.hh.ru/vacancy/46666380?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
34,Senior Data Scientist,160000,200000,руб.,https://belgorod.hh.ru/vacancy/46666493?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
35,Data Scientist,700,1000,USD,https://belgorod.hh.ru/vacancy/46265425?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
36,Data Scientist (в Сочи),,,,https://belgorod.hh.ru/vacancy/46585588?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
37,Data scientist/Machine learning engineer в Команду CoreML,,,,https://belgorod.hh.ru/vacancy/42449951?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
38,Аналитик данных (Data Scientist),,,,https://belgorod.hh.ru/vacancy/46608474?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
39,Senior Data scientist / Старший специалист по работе с данными и эконометрике,,,,https://belgorod.hh.ru/vacancy/44959475?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
40,Senior Data Scientist,500000,,KZT,https://belgorod.hh.ru/vacancy/45767231?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
41,Data Scientist,,,,https://belgorod.hh.ru/vacancy/45284227?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
42,Data Scientist,,,,https://belgorod.hh.ru/vacancy/46299027?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
43,Senior Data Scientist,,,,https://belgorod.hh.ru/vacancy/43508193?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
44,Lead/Senior Data scientist,,,,https://belgorod.hh.ru/vacancy/46589404?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
45,Data scientist,,,,https://belgorod.hh.ru/vacancy/43183814?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
46,Data scientist (ML разработчик),,,,https://belgorod.hh.ru/vacancy/46141222?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
47,Data Scientist (в Сочи),,,,https://belgorod.hh.ru/vacancy/46585589?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
48,Data Scientist // Relocation,,,,https://belgorod.hh.ru/vacancy/45926430?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
49,Data Scientist,,,,https://belgorod.hh.ru/vacancy/45959522?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
50,Data Scientist/Data Analyst,,,,https://belgorod.hh.ru/vacancy/44505242?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
51,Machine Learning Engineer (Data Scientist),,,,https://belgorod.hh.ru/vacancy/45688364?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
52,Data scientist,,,,https://belgorod.hh.ru/vacancy/46589962?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
53,Data scientist (Предиктивная аналитика),,,,https://belgorod.hh.ru/vacancy/44199707?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
54,Data Scientist (в Сочи),,,,https://belgorod.hh.ru/vacancy/46585590?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
55,Data Scientist (quant trader),,,,https://belgorod.hh.ru/vacancy/46498247?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
56,Senior Data Scientist,,,,https://belgorod.hh.ru/vacancy/46578039?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
57,Data Scientist/Python Developer (remote),,,,https://belgorod.hh.ru/vacancy/46595156?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
58,Chief Data Scientist трайба,,,,https://belgorod.hh.ru/vacancy/46575470?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
59,Senior Data Scientist/ML Engineer SberDevices,,,,https://belgorod.hh.ru/vacancy/45656342?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
60,Middle Data Scientist,,,,https://belgorod.hh.ru/vacancy/43959794?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
61,Data Scientist,,,,https://belgorod.hh.ru/vacancy/46200588?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
62,Data Scientist,,,,https://belgorod.hh.ru/vacancy/46121507?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
63,Data Scientist/Python Developer (remote),,,,https://belgorod.hh.ru/vacancy/46674102?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
64,Team Lead /Senior data scientist,,,,https://belgorod.hh.ru/vacancy/46623020?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
65,Data scientist,,,,https://belgorod.hh.ru/vacancy/46551380?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
66,Data Scientist/Python Developer (remote),,,,https://belgorod.hh.ru/vacancy/46595125?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
67,Middle Data Scientist(Департамент E-commerce),,,,https://belgorod.hh.ru/vacancy/46591407?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
68,Data Scientist,,,,https://belgorod.hh.ru/vacancy/46575267?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
69,Data analyst,,,,https://belgorod.hh.ru/vacancy/45583574?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
70,Data Scientist/Python Developer (remote),,,,https://belgorod.hh.ru/vacancy/46595140?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
71,Data Scientist/Python Developer (remote),,,,https://belgorod.hh.ru/vacancy/46595178?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
72,Data Analyst,,,,https://belgorod.hh.ru/vacancy/46577439?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
73,Эксперт Направления Data Scientist,,290000,KZT,https://belgorod.hh.ru/vacancy/46586893?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
74,Data Scientist - команда CLTV. Дивизион `Массовая персонализация`,,,,https://belgorod.hh.ru/vacancy/46575427?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
75,Data Scientist,,,,https://belgorod.hh.ru/vacancy/46618178?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
76,Data scientist,,,,https://belgorod.hh.ru/vacancy/46368462?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
77,Senior Data scientist,,,,https://belgorod.hh.ru/vacancy/46551122?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
78,"Teamlead Data scientist (клиентская аналитика), Ozon Express",,,,https://belgorod.hh.ru/vacancy/45795989?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
79,"Teamlead Data scientist, Ozon Express",,,,https://belgorod.hh.ru/vacancy/45628833?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
80,Data Analyst,,,,https://belgorod.hh.ru/vacancy/46537286?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
81,Data Engineer,,,,https://belgorod.hh.ru/vacancy/46537347?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
82,Middle/Senior Data Scientist (computer vision),,,,https://belgorod.hh.ru/vacancy/44722047?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
83,Senior Data Scientist в NLP лабораторию,,,,https://belgorod.hh.ru/vacancy/46565337?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
84,Senior Data Scientist,,,,https://belgorod.hh.ru/vacancy/46357007?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
85,Data Scientist/Python Developer (remote),,,,https://belgorod.hh.ru/vacancy/44958328?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
86,Data Scientist (Middle/Senior),,,,https://belgorod.hh.ru/vacancy/46505445?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
87,Data Scientist / Аналитик данных,,,,https://belgorod.hh.ru/vacancy/44880189?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
88,Python Data Scientist,,,,https://belgorod.hh.ru/vacancy/46507968?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
89,Data Scientist,,,,https://belgorod.hh.ru/vacancy/44727522?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
90,Data Scientist / Quantitative Researcher,250000,,руб.,https://belgorod.hh.ru/vacancy/43471916?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
91,Data Scientist/Python Developer (remote),,,,https://belgorod.hh.ru/vacancy/44958327?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
92,Python Data Scientist,,,,https://belgorod.hh.ru/vacancy/46507909?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
93,"Senior Consultant, Data Science, IT Advisory",,,,https://belgorod.hh.ru/vacancy/41820311?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
94,Data scientist (финансовые риски),,,,https://belgorod.hh.ru/vacancy/45458877?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
95,Data Scientist (Хаб Сочи),,,,https://belgorod.hh.ru/vacancy/46515190?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
96,Data Scientist (remote),,,,https://belgorod.hh.ru/vacancy/46463279?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
97,Data scientist,,,,https://belgorod.hh.ru/vacancy/46412125?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
98,Big Data Engineer,,,,https://belgorod.hh.ru/vacancy/46356877?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
99,Data Scientist,,,,https://belgorod.hh.ru/vacancy/46428409?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
100,Senior Data Scientist в команду CVM AI,,,,https://belgorod.hh.ru/vacancy/46456128?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
101,Middle data scientist (ЦКМ / Корпоративный блок),,,,https://belgorod.hh.ru/vacancy/46384980?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
102,Senior Data Scientist,,,,https://belgorod.hh.ru/vacancy/45620580?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
103,Ведущий Data Scientist / RNA Lead,,,,https://belgorod.hh.ru/vacancy/46213657?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
104,Team Lead Data Scientist,,,,https://belgorod.hh.ru/vacancy/46488613?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
105,Data Scientist,,,,https://belgorod.hh.ru/vacancy/45725967?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
106,Senior Data Scientist,,,,https://belgorod.hh.ru/vacancy/44727219?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
107,"Data Scientist.MassPers, Персональные предложения",,,,https://belgorod.hh.ru/vacancy/46421434?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
108,"Cloud Data Scientist (AWS, remote)",350000,,руб.,https://belgorod.hh.ru/vacancy/46358397?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
109,Data Scientist/Data Engineer,,,,https://belgorod.hh.ru/vacancy/46487215?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
110,Data Scientist,,,,https://belgorod.hh.ru/vacancy/46359388?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
111,Data Scientist,,,,https://belgorod.hh.ru/vacancy/46387357?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
112,"Data scientist, Собственные продажи",,,,https://belgorod.hh.ru/vacancy/46335287?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
113,Data Scientist ASR / TTS,230000,400000,руб.,https://belgorod.hh.ru/vacancy/45559729?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
114,Team Lead Data Scientist,,,,https://belgorod.hh.ru/vacancy/46488575?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
115,Data scientist,,,,https://belgorod.hh.ru/vacancy/45980259?from=vacancy_search_result&query=Data%20scientist,https://hh.ru
